nombre,url,url_oai,tipo,divulgador
Ankulegi. Revista de Antropología Social,http://aldizkaria.ankulegi.org/index.php/ankulegi,http://aldizkaria.ankulegi.org/index.php/index/oai,Revista,"Ankulegi, Asociación Vasca de Antropología"
"Aibr, Revista de Antropología Iberoamericana",http://www.aibr.org/anthropology/net/indexco.php,http://www.aibr.org/anthropology/net/indexco.php/index/oai,Revista,Antropólogos Iberoamericanos en Red (AIBR)
"Barataria, Revista Castellano-Manchega de Ciencias Sociales",http://www.revistabarataria.es,http://revistabarataria.es/web/index.php/index/oai,Revista,Asociacion Castellano-Manchega de Sociologia (ACMS)
"Icono14, Revista científica de Comunicación y Tecnologías emergentes",http://www.icono14.net/ojs/index.php/icono14/,http://www.icono14.net/ojs/index.php/icono14/oai,Revista,Asociación Científica ICONO14
"Encrucijadas, Revista Crítica de Ciencias Sociales",http://www.encrucijadas.org/,http://www.encrucijadas.org/index.php/index/oai,Revista,Asociación Contubernio
"Sportis, Revista de Formación Deportiva",http://www.sportis.es/,http://www.sportis.es/revista/index.php/index/oai,Revista,Asociación Cultural Sportis Formación Deportiva
"Trama y Fondo, Revista de Cultura",http://www.tramayfondo.com,http://www.tramayfondo.com/oai,Revista,Asociación Cultural Trama y Fondo
Didáctica Geográfica,http://www.didacticageografica.com/didacticageografica,http://www.didacticageografica.com/didacticageografica/oai,Revista,Asociación de Geógrafos Españoles 
Journal of Sport and Health Research,http://www.journalshr.com,http://www.journalshr.com/index.php/index/oai,Revista,Asociación Didáctica de Andalucía
Investigaciones Regionales,http://www.investigacionesregionales.org/view/index.php,http://www.investigacionesregionales.org/view/index.php/index/oai,Revista,Asociación Española de Ciencia Regional (AECR)
"Motricidad, European Journal of Human Movement",http://www.eurjhm.com/index.php/eurjhm,http://www.eurjhm.com/index.php/index/oai,Revista,Asociación Española de Ciencias del Deporte
Investigaciones Sobre Lectura,http://comprensionlectora.es/revistaisl/index.php/revistaISL,http://comprensionlectora.es/revistaisl/index.php/index/oai,Revista,Asociación Española de Comprensión Lectora
Atlantis,http://www.atlantisjournal.org/index.php/atlantis,http://www.atlantisjournal.org/index.php/index/oai,Revista,Asociación española de estudios anglo-norteamericanos (AEDEAN )
"Rael, Revista Electrónica de Lingüística Aplicada, Asociacion Española de Lingüística Aplicada",http://dialnet.unirioja.es/servlet/revista?tipo_busqueda=CODIGO&clave_revista=6978,http://dialnet.unirioja.es/servlet/revista?tipo_busqueda=CODIGO&clave_revista=6978/oai,Revista,Asociación Española de Lingüística Aplicada
